Train Size,Model Params,Train Params,Validation MSE,Average Training Time
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",12.309203286897645,172.73381752967833
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",30.787492943420396,941.7278063774108
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",15.964550539160399,7607.6505331039425
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.527313974905997,383.67808589935305
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.194841598281794,635.1924374580383
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.4414338759068,164.45115818977357
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",7.953763055125887,203.57764344215394
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.742141624875055,290.5816749095917
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",8.522145504091197,526.3440626144409
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",9.279815231348893,318.8298616886139
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",10.788983065864253,202.7420886039734
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",9.845044717687117,181.84851183891297
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",9.460338601025672,222.36867365837097
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.348078475723034,533.333572769165
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.912095328958028,350.5374055862427
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.87606896762331,266.6131678104401
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",7.7832930235247755,312.90019431114195
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.771798647008265,357.66783180236814
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",7.723585204897313,686.6374745845794
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",9.058319300925566,479.2932712078094
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",8.900120603670617,248.56245918273925
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",8.026871653078768,301.0987323760986
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",9.116182887276945,257.9169253826141
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.18452162995899,655.3227997303009
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.626405655509554,457.49162101745605
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.279236046983568,283.82118887901305
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",8.491312511827555,317.1931019306183
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",8.091450561230426,8846.905525159837
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",9.084312876993973,719.6513917922973
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",10.31124121443752,430.0590636253357
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",17.45579752014652,657.0595408439636
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",8.332556605331117,426.8992352485657
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",15.86747752060407,1219.8707382678986
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.937646975234347,797.6754752635956
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.458788456109504,674.7082316398621
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 4, 'dense_units': 32, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.527095998423126,295.1548186779022
