params,dataset_size,avg_val_score,training_time
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.613141059875488
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.670061111450195
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.707930088043213
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.777357578277588
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.652044773101807
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.863038301467896
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.623084545135498
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.64871096611023
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,15.689039945602417
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.80221700668335
