Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",7.149661117713768
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.003648259688726
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.177126761338939
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.2413142456516417
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.08867608594586
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",6.905765632641495
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",7.317326377513211
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.07044916431199
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.247531379033975
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.1756345223185063
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.0360534972304776
