SMILES,Viscosity_40C
CCCC(Cc1ccccc1)Cc2ccccc2,1.928684057
C(CCCC1CCCCC1)CCC2CCCCC2,2.161426976
C(CCC)C1=C(C=C2CCCCC2=C1)CCCCCCCC,2.48490665
CCCCC1CCC(CC1)C2CCCCC2,1.731754655
C1CCC(C1)C2CCC(C2)C3CCCC3,1.050821625
CC(CC(CCCCCCCCCC)CCCCCCCC)(CCCCCCCCCC)CCCCCCCC,3.561046083
CCCCCCCCCCCCCC(CC1CCCCC1)CC2CCCCC2,3.472276963
CCCCC(CCCC)=CCCC,0.039220713
CCCCCCC(C)CCCC,-0.030459207
C(C(C)C)C(CC(C)C)CCCCCCCCCCCCCCC,1.686398954
C1(=CC=CC=C1)C(CCC)CCCCCCCCCC,1.791759469
C(CC)OCCOCCOCCC,0.693147181
CCCCCCCCC(CCCC1CCCC1)CCCC2CCCC2,2.57184858
CCCCCCCCCCCCCCCC(c1ccccc1)c2ccccc2,2.941803932
C(CCCCCCCCCCCCCCC)OC1=C(C=CC=C1)OC,2.208274414
C(C=1C(C(=O)OCC(CC)CC)=CC=CC1)(=O)OCC(CC)CC,3.850147602
CC(Cc1ccccc1)c2ccccc2,1.420695788
CC(CC(C1=CC=CC=C1)C1=CC=CC=C1)C,2.564949357
CCCCCCCCCCCCc1cccc2ccccc12,2.458711534
CCCCCCCCCCCCCCC=C(Cc1ccccc1)Cc2ccccc2,3.247657626
CCCCCCCCCCC(CCCCCCCCCC)C1CCCC2CCCCC12,3.626738058
CC(C)CCC(C)(C)c1ccccc1,0.65987991
CC1=C(C=CC=C1)C(C1=CC=CC=C1)=O,1.667706821
CCCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,2.53449015
CCCCCC(CCCCC)CCCCC(CCCCC)CCCCC,2.213753879
CC(C)c1ccccc1c2ccccc2,1.749199855
C(Cc1ccccc1)C(CCc2ccccc2)=CCc3ccccc3,2.803360381
CCCC(CC)C1CCCCC1,0.518793793
CCCCCCCCCCCCCC(CC(CC)CC)CC(CC)CC,2.224623552
CCCCCCc1cc2ccccc2cc1CCCC,2.331638913
C1(=CC=CC=C1)C(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,2.949688335
C(CC(CCCc1ccccc1)=CCCc2ccccc2)Cc3ccccc3,3.176385773
CC(C)CC(C1CCCCC1)C2CCCCC2,2.685300034
CC(CC(C1=CC=CC=C1)C1=CC=CC=C1)(C)C,2.772588722
C(CCCCCCC)C(CCCCCCCCC)CCCCCCCCCC,2.564949357
C1CCC2C(C1)CCC3CCCCC23,1.559703403
C(CCCCC)C1=CC=C(C=C1)CCCCCC,1.360976553
C(CCCCCC1CCCCC1)CCCCC2CCCCC2,2.612262241
CCC(C)C1CCCc2ccccc12,1.300191662
C(CCC)C(CCCC)C(CCCC)CCCC,0.78845736
CC(CCC1CCCCC1)C2CCCCC2,2.030912843
CCCCC(C1CCCCC1)C2CCCCC2,2.477680605
COCCOCCOCCOCCOC,0.88376754
C(CCC(=O)OCCC(C)C)(=O)OCCC(C)C,2.174751721
CCCCCCCCCCCCC=C(c1ccccc1)c2ccccc2,2.812410216
CCCCCCCC1CCCc2ccccc12,2.194910791
CC(=CCCCCCCC)CCCCCCCC,0.470003629
CCCCCCCCCCC(=CCCCCCCCCC)c1cc(C)ccc1C,2.755569717
CCCCCCC=CCC,-0.356674944
CCCCCCC(c1ccccc1)c2ccccc2,2.060513532
C=1(C(=CC=CC1)C(=O)OCCCC)C(=O)OCC1=CC=CC=C1,3.218875825
C1(=CC=CC=C1)C(CC(C)C)C1=CC=CC=C1,2.564949357
C1(CCCCC1)CCC=1C=C2CCCCC2=CC1,2.833213344
CC(C)CCC1CCCCC1,0.470003629
CCCCCCCCCOCCCCOCCCCCCCCC,2.772588722
C(CCC(=O)OCCCCC)(=O)OCCCCC,1.824549292
CC(CCCCCCCCC)CCCCCCCCCC,1.504077397
O(c1ccccc1)c2ccccc2,0.940007258
C(CCC)OCCOCCOCCOCCOCCO,3.044522438
CC(c1ccccc1)c2cc(C)ccc2C,1.458615023
C(c1ccccc1)c2cccc3ccccc23,2.528524732
CCCCCCCCCCCCCCCCC1CCCC2(CCCC2)C1,2.684440335
CCCCCCCCCCCCOC(=O)c1ccccc1,1.988971007
C(CCC)C(CCCC)=CCCC=C(CCCC)CCCC,0.875468737
C(C1=CC(C(=O)OCC(C)C)=CC=C1)(=O)OCC(C)C,3.555348061
CCCCCCC1CC2CCCCC2CC1CCCC,2.351633319
CC(C)CCC(CCC(CCC(C)C)CCC(C)C)CCC(C)C,1.458615023
C(CCCCC(=O)OCCCCCCC)(=O)OCCCCCCC,2.772588722
CCCCCCCCC1CCCCC1,0.806475866
C(OCc1ccccc1)c2ccccc2,1.16315081
CCCCCCCCc1cccc2c(C)ccc(C)c12,2.501712963
C(CCCCCCCCCCCCCCCCC)(=O)OCC(C)C,2.63905733
C(CC)(=O)OCC(CCCCCCC)CCCCC,1.757857918
CC(CCCCC)CCCCCCCCCCCC,1.280933845
CCCCCCCC(CO)CCCCCCC,2.754933787
C(COCCOCCCCCCCCC)O,1.987874348
CC(CCC(CCC(C)C)(CC(C)C)C1CCCCC1)C,2.397895273
C(CCCCCCC)OCCOCCOCCO,2.564949357
C1(CCCCC1)C1CC(CCC1)C1CCCCC1,3.561046083
C(C)(=O)OCCCCCCCCCCCCCCCCCCC,1.974081026
